level,measure,contrast,layer,head,n,mean,median,sd,dz,n_pos,n_neg,p_sign,p_wilcoxon,p_perm,p_fwer,q_bh
layer,salience_readout,injected-control,0,moy,39.0,0.005464782472699881,-0.0002756438043434173,0.013961140997707844,0.3914280831813812,18.0,21.0,0.7492586247608418,0.16248030960559845,0.016996600679864027,0.09098180363927215,0.016996600679864027
layer,salience_readout,injected-control,1,moy,39.0,0.0031800572760403156,0.0015775262145325541,0.00566253624856472,0.5615959167480469,29.0,10.0,0.0033778479119064286,0.0005585207836702466,0.0011997600479904018,0.006798640271945611,0.0017451055243496753
layer,salience_readout,injected-control,2,moy,39.0,0.003200981765985489,0.0017585511086508632,0.006634097546339035,0.4825044870376587,26.0,13.0,0.05325191409792752,0.008562066592276096,0.003999200159968006,0.02559488102379524,0.005332266879957342
layer,salience_readout,injected-control,3,moy,39.0,0.0029997085221111774,0.0031932175625115633,0.007526112720370293,0.3985734283924103,26.0,13.0,0.05325191409792752,0.010195096023380756,0.015596880623875225,0.08318336332733453,0.016636672665466905
layer,salience_readout,injected-control,4,moy,39.0,0.006103185471147299,0.006545871030539274,0.010479269549250603,0.5824056267738342,31.0,8.0,0.0002940768754342571,5.105841046315618e-05,0.0009998000399920016,0.004799040191961607,0.0015996800639872025
layer,salience_readout,injected-control,5,moy,39.0,0.00637547904625535,0.007666782476007938,0.01469962578266859,0.43371710181236267,27.0,12.0,0.023702702470473014,0.003361091483384371,0.008798240351929614,0.052189562087582485,0.01051218327763019
layer,salience_readout,injected-control,6,moy,39.0,0.014814719557762146,0.013578291051089764,0.018117550760507584,0.8176999092102051,34.0,5.0,2.4299079086631536e-06,4.021188942715526e-06,0.0001999600079984003,0.0001999600079984003,0.0003999200159968006
layer,salience_readout,injected-control,7,moy,39.0,0.030122408643364906,0.031120747327804565,0.025797152891755104,1.1676640510559082,35.0,4.0,3.353161446284503e-07,5.3809344535693526e-08,0.0001999600079984003,0.0001999600079984003,0.0003999200159968006
layer,salience_readout,injected-control,8,moy,39.0,0.02760833129286766,0.025378666818141937,0.025898180902004242,1.0660336017608643,35.0,4.0,3.353161446284503e-07,6.122354534454644e-08,0.0001999600079984003,0.0001999600079984003,0.0003999200159968006
layer,salience_readout,injected-control,9,moy,39.0,0.016511281952261925,0.01423613540828228,0.015175526030361652,1.0880204439163208,34.0,5.0,2.4299079086631536e-06,8.940332918427885e-08,0.0001999600079984003,0.0001999600079984003,0.0003999200159968006
layer,salience_readout,injected-control,10,moy,39.0,0.01033860631287098,0.00876294169574976,0.013042931444942951,0.7926596999168396,33.0,6.0,1.429926123819314e-05,4.021188942715526e-06,0.0001999600079984003,0.0001999600079984003,0.0003999200159968006
layer,salience_readout,injected-control,11,moy,39.0,0.008998064324259758,0.007031555753201246,0.012498868629336357,0.7199103236198425,32.0,7.0,7.025478407740593e-05,9.754515485838056e-05,0.0001999600079984003,0.0005998800239952009,0.0003999200159968006
layer,salience_readout,injected-control,12,moy,39.0,0.009580323472619057,0.008706708438694477,0.011111781932413578,0.8621770739555359,33.0,6.0,1.429926123819314e-05,1.898664777399972e-06,0.0001999600079984003,0.0001999600079984003,0.0003999200159968006
